Country,Total_Plastic_Waste_MT,Main_Sources,Recycling_Rate,Per_Capita_Waste_KG,Coastal_Waste_Risk,Continent
Belgium,1.52,Industrial_Packaging,43.2,131.2,Low,Europe
Sweden,1.51,Packaging_Industrial,50.6,146.3,Low,Europe
Austria,1.48,Industrial_Packaging,56.4,164.8,Low,Europe
Ukraine,1.47,Consumer_Packaging,3.4,33.7,Medium,Europe
Greece,1.45,Consumer_Packaging,21.3,139.2,Medium,Europe
Czech Republic,1.43,Industrial_Packaging,41.7,133.9,Low,Europe
Romania,1.41,Consumer_Packaging,13.8,73.4,Medium,Europe
Portugal,1.39,Consumer_Packaging,31.2,135.8,Medium,Europe
Hungary,1.37,Industrial_Packaging,30.1,141.5,Low,Europe
Denmark,1.35,Packaging_Consumer,42.3,232.1,Low,Europe
Finland,1.33,Industrial_Packaging,42.1,240.2,Low,Europe
Norway,1.31,Industrial_Packaging,44.5,243.1,Low,Europe
Ireland,1.29,Consumer_Packaging,31.2,257.3,Low,Europe
Singapore,1.27,Industrial_Packaging,59.8,217.9,Medium,Asia
Chile,1.25,Consumer_Packaging,8.9,64.7,High,South America
Israel,1.23,Consumer_Packaging,14.5,133.7,Medium,Asia
Peru,1.21,Consumer_Packaging,2.3,36.4,High,South America
Kazakhstan,1.19,Industrial_Consumer,4.5,62.8,Low,Asia
Morocco,1.17,Consumer_Packaging,7.8,31.2,High,Africa
Algeria,1.15,Consumer_Packaging,4.3,25.9,High,Africa
Slovakia,1.13,Industrial_Packaging,38.9,207.1,Low,Europe
Ecuador,1.11,Consumer_Packaging,4.1,61.8,High,South America
Belarus,1.09,Industrial_Consumer,7.2,115.7,Low,Europe
Dominican Republic,1.07,Consumer_Packaging,2.8,97.6,High,North America
Bulgaria,1.05,Consumer_Packaging,31.5,152.3,Medium,Europe
Tunisia,1.03,Consumer_Packaging,4.1,85.9,High,Africa
Sri Lanka,1.01,Consumer_Packaging,29.8,46.7,High,Asia
Azerbaijan,0.99,Consumer_Packaging,18.2,96.8,Medium,Asia
Croatia,0.97,Consumer_Packaging,33.7,238.1,Medium,Europe
Uruguay,0.95,Consumer_Packaging,35.2,272.4,Medium,South America
Lithuania,0.93,Industrial_Packaging,45.3,334.8,Low,Europe
Slovenia,0.91,Industrial_Packaging,42.1,436.5,Low,Europe
Costa Rica,0.89,Consumer_Packaging,13.2,172.8,High,North America
Panama,0.87,Consumer_Packaging,5.4,198.6,High,North America
Kuwait,0.85,Consumer_Packaging,10.2,195.4,High,Asia
Jordan,0.83,Consumer_Packaging,7.8,80.6,Medium,Asia
Lebanon,0.81,Consumer_Packaging,6.4,119.1,High,Asia
Oman,0.79,Consumer_Packaging,3.2,151.9,High,Asia
Bolivia,0.77,Consumer_Packaging,2.8,65.3,Low,South America
Paraguay,0.75,Consumer_Packaging,4.1,104.2,Low,South America
Latvia,0.73,Industrial_Packaging,43.2,386.8,Low,Europe
Estonia,0.71,Industrial_Packaging,31.8,534.6,Low,Europe
Bahrain,0.69,Consumer_Packaging,4.5,397.7,High,Asia
Trinidad and Tobago,0.67,Consumer_Packaging,3.2,478.6,High,North America
Cyprus,0.65,Consumer_Packaging,16.4,531.1,Medium,Asia
Montenegro,0.63,Consumer_Packaging,3.4,1004.8,Medium,Europe
Luxembourg,0.61,Industrial_Packaging,48.9,957.8,Low,Europe
Malta,0.59,Consumer_Packaging,11.2,1331.5,Medium,Europe
Iceland,0.57,Consumer_Packaging,55.6,1564.4,Low,Europe
Qatar,0.55,Consumer_Packaging,8.9,188.7,High,Asia
Cambodia,0.53,Consumer_Packaging,5.4,31.2,High,Asia
Myanmar,0.51,Consumer_Packaging,6.1,43.1,Very_High,Asia
Laos,0.49,Consumer_Packaging,1.8,66.2,Medium,Asia
Mongolia,0.47,Consumer_Packaging,0.9,141.6,Low,Asia
Afghanistan,0.45,Consumer_Packaging,0.5,11.4,Low,Asia
Yemen,0.43,Consumer_Packaging,0.3,14.2,High,Asia
Syria,0.41,Consumer_Packaging,0.4,24.7,Medium,Asia
Iraq,0.39,Consumer_Packaging,1.2,9.6,Medium,Asia
Libya,0.37,Consumer_Packaging,0.8,53.2,High,Africa
Sudan,0.35,Consumer_Packaging,0.4,7.9,Medium,Africa
Somalia,0.33,Consumer_Packaging,0.1,20.4,High,Africa
Ethiopia,0.31,Consumer_Packaging,0.7,2.6,Low,Africa
Kenya,0.29,Consumer_Packaging,7.8,5.3,High,Africa
Tanzania,0.27,Consumer_Packaging,5.4,4.4,High,Africa
Uganda,0.25,Consumer_Packaging,2.3,5.3,Low,Africa
Rwanda,0.23,Consumer_Packaging,11.2,17.4,Low,Africa
Burundi,0.21,Consumer_Packaging,0.8,17.3,Low,Africa
Malawi,0.19,Consumer_Packaging,0.5,9.7,Low,Africa
Mozambique,0.17,Consumer_Packaging,0.9,5.3,High,Africa
Zimbabwe,0.15,Consumer_Packaging,2.1,9.9,Low,Africa
Zambia,0.13,Consumer_Packaging,1.8,6.9,Low,Africa
Angola,0.11,Consumer_Packaging,0.4,3.3,High,Africa
Namibia,0.09,Consumer_Packaging,12.3,35.1,High,Africa
Botswana,0.07,Consumer_Packaging,8.9,29.3,Low,Africa
Lesotho,0.05,Consumer_Packaging,0.7,23.2,Low,Africa
Eswatini,0.03,Consumer_Packaging,1.2,25.6,Low,Africa
Madagascar,0.21,Consumer_Packaging,2.1,7.4,High,Africa
Comoros,0.02,Consumer_Packaging,0.4,22.7,High,Africa
Mauritius,0.08,Consumer_Packaging,15.4,62.8,High,Africa
Seychelles,0.01,Consumer_Packaging,18.9,101.2,High,Africa
Cape Verde,0.02,Consumer_Packaging,3.4,35.6,High,Africa
Sao Tome and Principe,0.01,Consumer_Packaging,0.8,45.2,High,Africa
Guinea-Bissau,0.04,Consumer_Packaging,0.3,19.8,High,Africa
Guinea,0.08,Consumer_Packaging,0.5,6,High,Africa
Sierra Leone,0.06,Consumer_Packaging,0.4,7.3,High,Africa
Liberia,0.05,Consumer_Packaging,0.2,9.7,High,Africa
Ivory Coast,0.18,Consumer_Packaging,1.2,6.7,High,Africa
Ghana,0.22,Consumer_Packaging,4.5,7,High,Africa
Togo,0.07,Consumer_Packaging,0.8,8.3,High,Africa
Benin,0.09,Consumer_Packaging,0.6,7.3,High,Africa
Mali,0.12,Consumer_Packaging,0.3,5.8,Low,Africa
Burkina Faso,0.14,Consumer_Packaging,0.4,6.5,Low,Africa
Niger,0.11,Consumer_Packaging,0.2,4.4,Low,Africa
Chad,0.09,Consumer_Packaging,0.1,5.4,Low,Africa
Central African Republic,0.04,Consumer_Packaging,0.2,8.1,Low,Africa
Cameroon,0.19,Consumer_Packaging,1.2,7,High,Africa
Gabon,0.06,Consumer_Packaging,2.3,26.4,High,Africa
Republic of Congo,0.08,Consumer_Packaging,0.9,14.2,High,Africa
Democratic Republic of Congo,0.24,Consumer_Packaging,0.4,2.6,Medium,Africa
Eritrea,0.05,Consumer_Packaging,0.3,13.9,High,Africa
Djibouti,0.03,Consumer_Packaging,1.1,29.7,High,Africa
Senegal,0.16,Consumer_Packaging,1.8,9.4,High,Africa
Gambia,0.02,Consumer_Packaging,0.5,8.1,High,Africa
Mauritania,0.07,Consumer_Packaging,0.4,14.8,High,Africa
Western Sahara,0.01,Consumer_Packaging,0.2,18.5,High,Africa
Moldova,0.28,Consumer_Packaging,12.3,69.7,Low,Europe
Albania,0.31,Consumer_Packaging,15.6,107.9,Medium,Europe
North Macedonia,0.29,Consumer_Packaging,17.8,139.2,Low,Europe
Bosnia and Herzegovina,0.34,Consumer_Packaging,13.2,104.5,Low,Europe
Kosovo,0.21,Consumer_Packaging,8.9,115.7,Low,Europe
Georgia,0.33,Consumer_Packaging,11.2,88.3,Medium,Asia
Armenia,0.28,Consumer_Packaging,9.8,94.2,Low,Asia
Kyrgyzstan,0.25,Consumer_Packaging,4.5,37.8,Low,Asia
Tajikistan,0.22,Consumer_Packaging,3.2,22.7,Low,Asia
Turkmenistan,0.35,Consumer_Packaging,2.1,57.3,Low,Asia
Uzbekistan,0.42,Consumer_Packaging,3.4,12.3,Low,Asia
Nepal,0.38,Consumer_Packaging,5.6,12.8,Low,Asia
Bhutan,0.05,Consumer_Packaging,12.3,64.2,Low,Asia
Maldives,0.04,Consumer_Packaging,3.2,72.8,Very_High,Asia
Brunei,0.12,Consumer_Packaging,8.9,269.4,High,Asia
East Timor,0.06,Consumer_Packaging,2.3,44.7,High,Asia
Papua New Guinea,0.15,Consumer_Packaging,1.2,16.5,High,Australia
Solomon Islands,0.03,Consumer_Packaging,0.8,42.9,High,Australia
Vanuatu,0.02,Consumer_Packaging,1.1,63.8,High,Australia
New Caledonia,0.04,Consumer_Packaging,23.4,138.6,High,Australia
Fiji,0.07,Consumer_Packaging,6.7,76.9,High,Australia
Samoa,0.01,Consumer_Packaging,4.5,49.8,High,Australia
Tonga,0.01,Consumer_Packaging,3.2,92.7,High,Australia
Kiribati,0.01,Consumer_Packaging,2.1,82.4,High,Australia
Marshall Islands,0.01,Consumer_Packaging,1.8,168.5,High,Australia
Micronesia,0.01,Consumer_Packaging,1.5,86.3,High,Australia
Palau,0.01,Consumer_Packaging,12.3,437.2,High,Australia
Tuvalu,0.01,Consumer_Packaging,1.2,833.3,High,Australia
Nauru,0.01,Consumer_Packaging,0.9,927.8,High,Australia
